素材类型,素材内容
新闻文本,可再生能源政策落地实施一周年，取得显著成效与社会反响
新闻文本,北京市正式发布，引发行业广泛关注，相关部门表示将全力推进落实
新闻文本,深度解读可再生能源政策核心内容，全面覆盖政策要点与实施路径
新闻文本,市发改委正式发布，引发行业广泛关注，相关部门表示将全力推进落实
新闻文本,关于市发改委的最新进展，权威数据显示整体效果超出预期
新闻文本,可再生能源政策正式发布，引发行业广泛关注，相关部门表示将全力推进落实
新闻文本,新能源政策正式发布，引发行业广泛关注，相关部门表示将全力推进落实
新闻文本,新能源政策落地实施一周年，取得显著成效与社会反响
新闻文本,关于新能源规划的最新进展，权威数据显示整体效果超出预期
新闻文本,深度解读新能源规划核心内容，全面覆盖政策要点与实施路径
新闻文本,可再生能源政策专题会议顺利召开，多方代表共同探讨未来发展方向
新闻文本,关于新能源政策的最新进展，权威数据显示整体效果超出预期
新闻文本,北京市落地实施一周年，取得显著成效与社会反响
新闻文本,新能源政策专题会议顺利召开，多方代表共同探讨未来发展方向
新闻文本,市发改委落地实施一周年，取得显著成效与社会反响
新闻文本,北京市专题会议顺利召开，多方代表共同探讨未来发展方向
新闻文本,深度解读新能源政策核心内容，全面覆盖政策要点与实施路径
新闻文本,新能源规划落地实施一周年，取得显著成效与社会反响
新闻文本,市发改委专题会议顺利召开，多方代表共同探讨未来发展方向
新闻文本,关于上半年的最新进展，权威数据显示整体效果超出预期
新闻文本,上半年专题会议顺利召开，多方代表共同探讨未来发展方向
新闻文本,上半年正式发布，引发行业广泛关注，相关部门表示将全力推进落实
新闻文本,绿色能源方案专题会议顺利召开，多方代表共同探讨未来发展方向
新闻文本,绿色能源方案落地实施一周年，取得显著成效与社会反响
统计数据,新能源规划经济效益：700亿元
统计数据,新能源政策覆盖人群：713万人
统计数据,北京市经济效益：2617亿元
统计数据,市发改委覆盖人群：606万人
统计数据,绿色能源方案增长率：18.63%
统计数据,北京市覆盖人群：979万人
统计数据,市发改委经济效益：3083亿元
统计数据,新能源政策增长率：22.72%
统计数据,上半年增长率：11.52%
统计数据,绿色能源方案增长率：17.34%
统计数据,上半年增长率：17.57%
统计数据,新能源规划覆盖人群：352万人
统计数据,绿色能源方案增长率：6.46%
统计数据,新能源规划经济效益：1495亿元
统计数据,新能源政策经济效益：2644亿元
统计数据,上半年增长率：6.09%
统计数据,新能源政策投资额：372亿元
统计数据,上半年经济效益：4317亿元
统计数据,北京市项目数量：11个
统计数据,上半年投资额：527亿元
统计数据,新能源政策投资额：537亿元
统计数据,上半年覆盖人群：385万人
统计数据,新能源政策增长率：23.28%
统计数据,上半年增长率：14.77%
统计数据,绿色能源方案增长率：5.23%
统计数据,绿色能源方案增长率：8.41%
统计数据,新能源政策经济效益：1754亿元
统计数据,新能源规划项目数量：36个
统计数据,北京市增长率：17.24%
统计数据,北京市投资额：221亿元
知识条目,"(工信局, 负责, 可再生能源政策)"
知识条目,"(科技厅, 制定, 北京市)"
知识条目,"(市发改委, 负责, 北京市)"
知识条目,"(市发改委, 实施, 新能源规划)"
知识条目,"(科技厅, 实施, 新能源规划)"
知识条目,"(市发改委, 发布, 可再生能源政策)"
知识条目,"(省统计局, 发布, 上半年)"
知识条目,"(国家能源局, 制定, 北京市)"
知识条目,"(国家能源局, 发布, 上半年)"
知识条目,"(市发改委, 制定, 北京市)"
知识条目,"(市发改委, 制定, 绿色能源方案)"
知识条目,"(省统计局, 启动, 北京市)"
知识条目,"(工信局, 负责, 新能源规划)"
知识条目,"(省统计局, 负责, 市发改委)"
知识条目,"(市发改委, 发布, 北京市)"
知识条目,"(国家能源局, 制定, 新能源规划)"
知识条目,"(国家能源局, 制定, 绿色能源方案)"
知识条目,"(工信局, 启动, 上半年)"
知识条目,"(省统计局, 制定, 可再生能源政策)"
知识条目,"(工信局, 制定, 上半年)"
知识条目,"(省统计局, 实施, 新能源政策)"
知识条目,"(省统计局, 负责, 上半年)"
知识条目,"(国家能源局, 启动, 可再生能源政策)"
知识条目,"(省统计局, 制定, 市发改委)"
知识条目,"(省统计局, 发布, 市发改委)"
知识条目,"(国家能源局, 实施, 新能源规划)"
知识条目,"(省统计局, 负责, 绿色能源方案)"
知识条目,"(工信局, 制定, 绿色能源方案)"
知识条目,"(工信局, 启动, 可再生能源政策)"
知识条目,"(工信局, 发布, 可再生能源政策)"
知识条目,"(市发改委, 实施, 北京市)"
知识条目,"(市发改委, 负责, 上半年)"
知识条目,"(市发改委, 实施, 市发改委)"
知识条目,"(国家能源局, 实施, 市发改委)"
