素材,类型,相似度,事实要素,验证状态
可再生能源政策落地实施一周年，取得显著成效与社会反响,新闻文本,0.8719,"{'动作': '召开', '数量': '878亿元'}",通过
深度解读可再生能源政策核心内容，全面覆盖政策要点与实施路径,新闻文本,0.9539,"{'动作': '召开', '数量': '637亿元'}",通过
市发改委正式发布，引发行业广泛关注，相关部门表示将全力推进落实,新闻文本,0.8266,"{'动作': '启动', '数量': '630亿元'}",通过
新能源政策正式发布，引发行业广泛关注，相关部门表示将全力推进落实,新闻文本,0.8853,"{'动作': '启动', '数量': '54亿元'}",通过
关于新能源规划的最新进展，权威数据显示整体效果超出预期,新闻文本,0.7723,"{'动作': '发布', '数量': '416亿元'}",通过
可再生能源政策专题会议顺利召开，多方代表共同探讨未来发展方向,新闻文本,0.9575,"{'动作': '启动', '数量': '213亿元'}",通过
新能源政策专题会议顺利召开，多方代表共同探讨未来发展方向,新闻文本,0.8722,"{'动作': '完成', '数量': '322亿元'}",通过
北京市专题会议顺利召开，多方代表共同探讨未来发展方向,新闻文本,0.9523,"{'地点': '杭州市', '动作': '召开', '数量': '395亿元'}",通过
新能源规划落地实施一周年，取得显著成效与社会反响,新闻文本,0.7907,"{'动作': '召开', '数量': '484亿元'}",通过
市发改委专题会议顺利召开，多方代表共同探讨未来发展方向,新闻文本,0.7898,"{'动作': '召开', '数量': '181亿元'}",通过
绿色能源方案落地实施一周年，取得显著成效与社会反响,新闻文本,0.856,"{'动作': '完成', '数量': '509亿元'}",通过
新能源政策覆盖人群：713万人,统计数据,0.9395,"{'动作': '实施', '数量': '946亿元'}",通过
市发改委经济效益：3083亿元,统计数据,0.8944,"{'动作': '召开', '数量': '145亿元'}",通过
新能源政策增长率：22.72%,统计数据,0.805,"{'动作': '启动', '数量': '27亿元'}",通过
上半年增长率：11.52%,统计数据,0.9795,"{'时间': '全年', '动作': '完成', '数量': '75亿元'}",有冲突但保留
新能源规划覆盖人群：352万人,统计数据,0.8134,"{'动作': '启动', '数量': '508亿元'}",通过
新能源政策经济效益：2644亿元,统计数据,0.7841,"{'动作': '启动', '数量': '755亿元'}",通过
新能源政策投资额：372亿元,统计数据,0.827,"{'动作': '发布', '数量': '212亿元'}",通过
上半年投资额：527亿元,统计数据,0.932,"{'时间': '全年', '动作': '实施', '数量': '190亿元'}",通过
新能源政策投资额：537亿元,统计数据,0.8041,"{'动作': '召开', '数量': '865亿元'}",通过
上半年覆盖人群：385万人,统计数据,0.817,"{'时间': '全年', '动作': '启动', '数量': '229亿元'}",通过
新能源政策增长率：23.28%,统计数据,0.8434,"{'动作': '完成', '数量': '777亿元'}",有冲突但保留
绿色能源方案增长率：8.41%,统计数据,0.9729,"{'动作': '实施', '数量': '906亿元'}",有冲突但保留
新能源政策经济效益：1754亿元,统计数据,0.9027,"{'动作': '召开', '数量': '48亿元'}",通过
"(工信局, 负责, 可再生能源政策)",知识条目,0.9764,"{'动作': '实施', '数量': '414亿元'}",有冲突但保留
"(市发改委, 实施, 新能源规划)",知识条目,0.9779,"{'动作': '实施', '数量': '252亿元'}",有冲突但保留
"(科技厅, 实施, 新能源规划)",知识条目,0.8152,"{'动作': '启动', '数量': '971亿元'}",通过
"(省统计局, 发布, 上半年)",知识条目,0.9487,"{'时间': '2024年', '动作': '召开', '数量': '884亿元'}",通过
"(工信局, 负责, 新能源规划)",知识条目,0.7585,"{'动作': '召开', '数量': '679亿元'}",通过
"(市发改委, 发布, 北京市)",知识条目,0.7717,"{'地点': '北京市', '动作': '发布', '数量': '905亿元'}",有冲突但保留
"(国家能源局, 制定, 绿色能源方案)",知识条目,0.8419,"{'动作': '完成', '数量': '835亿元'}",有冲突但保留
"(工信局, 启动, 上半年)",知识条目,0.8198,"{'时间': '第一季度', '动作': '完成', '数量': '859亿元'}",通过
"(省统计局, 制定, 可再生能源政策)",知识条目,0.9178,"{'动作': '发布', '数量': '901亿元'}",通过
"(工信局, 制定, 上半年)",知识条目,0.8053,"{'时间': '上半年', '动作': '完成', '数量': '877亿元'}",有冲突但保留
"(省统计局, 负责, 上半年)",知识条目,0.8536,"{'时间': '第一季度', '动作': '启动', '数量': '797亿元'}",通过
"(省统计局, 发布, 市发改委)",知识条目,0.8564,"{'动作': '实施', '数量': '951亿元'}",有冲突但保留
"(国家能源局, 实施, 新能源规划)",知识条目,0.8324,"{'动作': '发布', '数量': '627亿元'}",有冲突但保留
"(工信局, 制定, 绿色能源方案)",知识条目,0.8585,"{'动作': '召开', '数量': '381亿元'}",有冲突但保留
"(工信局, 启动, 可再生能源政策)",知识条目,0.905,"{'动作': '完成', '数量': '210亿元'}",通过
"(工信局, 发布, 可再生能源政策)",知识条目,0.9108,"{'动作': '完成', '数量': '699亿元'}",通过
"(市发改委, 实施, 北京市)",知识条目,0.9628,"{'地点': '广州市', '动作': '实施', '数量': '574亿元'}",通过
"(市发改委, 负责, 上半年)",知识条目,0.9755,"{'时间': '全年', '动作': '发布', '数量': '791亿元'}",通过
"(国家能源局, 实施, 市发改委)",知识条目,0.7663,"{'动作': '发布', '数量': '15亿元'}",通过
